NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.7,NaN
6,7.1,3.1,2.8,5.8,8.9,10.3,5.7,6.9,NaN,4,7.5
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.6,7.4
6,5.9,3.4,3.4,5.8,8.8,9.5,4.9,7.1,NaN,NaN,7.5
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.1,7.8
8.4,5.8,3.7,3.1,5.9,8.3,10.6,5.1,7,NaN,3.2,7.7
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.4,NaN
7.4,5.2,3.7,1.7,5.8,8.6,9.8,3.5,6.2,NaN,2.8,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.4,NaN
6.3,5.3,3.4,1.7,4.6,9,8.7,4.5,5.9,NaN,4.6,7.1
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.6,7
6.7,5.5,3.7,2.2,5.6,8.7,9.2,3.6,7.5,NaN,6.5,6.9
